region                       live date        size  file
africa                       2026-04-29     20.39G  osm-africa-2026-04-29.zim
alaska                       2026-09-10      3.14G  osm-alaska-2026-09-10.zim
argentina                    2026-09-18b     3.20G  osm-argentina-2026-09-18b.zim
australia-nz                 2026-09-18      7.71G  osm-australia-nz-2026-09-18.zim
baltics                      2026-09-09      1.23G  osm-baltics-2026-09-09.zim
brazil                       2026-09-14     15.66G  osm-brazil-2026-09-14.zim
california                   2026-09-09      3.61G  osm-california-2026-09-09.zim
canada                       2026-04-27d    25.66G  osm-canada-2026-04-27d.zim
carolinas                    2026-09-06      2.09G  osm-carolinas-2026-09-06.zim
caucasus                     2026-09-09      1.36G  osm-caucasus-2026-09-09.zim
central-america-caribbean    2026-09-11      3.12G  osm-central-america-caribbean-2026-09-11.zim
central-asia                 2026-09-11     21.55G  osm-central-asia-2026-09-11.zim
central-us                   2026-09-18b     6.80G  osm-central-us-2026-09-18b.zim
chicago-metro                2026-09-06      0.58G  osm-chicago-metro-2026-09-06.zim
china                        2026-05-09     19.48G  osm-china-2026-05-09.zim
colorado                     2026-09-06      0.90G  osm-colorado-2026-09-06.zim
east-africa                  2026-09-07      4.49G  osm-east-africa-2026-09-07.zim
east-coast-us                2026-09-16     10.53G  osm-east-coast-us-2026-09-16.zim
egypt                        2026-09-06      1.46G  osm-egypt-2026-09-06.zim
europe                       2026-05-06     62.14G  osm-europe-2026-05-06.zim
florida                      2026-09-06      2.03G  osm-florida-2026-09-06.zim
greater-la                   2026-09-06      0.80G  osm-greater-la-2026-09-06.zim
hawaii                       2026-09-08      0.24G  osm-hawaii-2026-09-08.zim
himalayas                    2026-09-10      5.10G  osm-himalayas-2026-09-10.zim
hispaniola                   2026-09-06      0.25G  osm-hispaniola-2026-09-06.zim
iceland                      2026-09-08      0.55G  osm-iceland-2026-09-08.zim
indian-subcontinent          2026-09-14     13.23G  osm-indian-subcontinent-2026-09-14.zim
iran                         2026-09-06      2.88G  osm-iran-2026-09-06.zim
japan                        2026-09-18b     4.98G  osm-japan-2026-09-18b.zim
korea-mongolia               2026-09-11      5.75G  osm-korea-mongolia-2026-09-11.zim
mexico                       2026-09-18b     7.31G  osm-mexico-2026-09-18b.zim
midwest-us                   2026-09-18b     8.69G  osm-midwest-us-2026-09-18b.zim
new-york-state               2026-09-09      3.19G  osm-new-york-state-2026-09-09.zim
nyc-metro                    2026-09-10      0.86G  osm-nyc-metro-2026-09-10.zim
pacific-islands              2026-09-10      2.00G  osm-pacific-islands-2026-09-10.zim
russia                       2026-05-12c    24.46G  osm-russia-2026-05-12c.zim
silicon-valley               2026-09-06      0.39G  osm-silicon-valley-2026-09-06.zim
south-america                2026-09-15     19.57G  osm-south-america-2026-09-15.zim
south-korea                  2026-09-06      1.09G  osm-south-korea-2026-09-06.zim
southeast-asia               2026-09-17      9.82G  osm-southeast-asia-2026-09-17.zim
southern-africa              2026-09-07      2.45G  osm-southern-africa-2026-09-07.zim
switzerland                  2026-09-19c     2.05G  osm-switzerland-2026-09-19c.zim
switzerland-light            none            0.00G  -
texas                        2026-09-06      3.89G  osm-texas-2026-09-06.zim
turkey                       2026-09-18b     3.20G  osm-turkey-2026-09-18b.zim
ukraine                      2026-09-06      4.76G  osm-ukraine-2026-09-06.zim
united-states                2026-05-05     38.02G  osm-united-states-2026-05-05.zim
washington-dc                2026-09-08      0.21G  osm-washington-dc-2026-09-08.zim
west-africa                  2026-09-07      2.87G  osm-west-africa-2026-09-07.zim
west-asia                    2026-09-18      9.94G  osm-west-asia-2026-09-18.zim
west-coast-us                2026-09-18b     4.92G  osm-west-coast-us-2026-09-18b.zim

total listed: 50
